M	170141183460469231731687303715884105727
SAVE_M	170141183460469231731687303715884105727
SAVE_2M	170141183460469231731687303715884105727
SAVE_M_PLUS_1	1
DAY_FOUNDATION	1
DAY_FOUNDATION_MINUS_1	2
DAY_FOUNDATION_PLUS_1	3
STONE_2	378,1073,2375,6195,10493
STONE_46	73799454308499791987382386781055001470,147925408106533232424672641008220632365,94499522601819303005579577099149028685,108473647672201258090947028490673028834,137131922036975206684616468948804344042
HIDDEN_1	119390830530032782664128530203002080344
HIDDEN_7	6164285870955721082771365327359496898
VISIBLE_1	56644603826892212324764499696091907135
VISIBLE_46	141872771689426650819909896585756512282
SAUCE_BOWLS	65286679584284972964194865805379907599,127720283375330263615328810127751035299,54364069496183805843611594721403108554,93072329024469476118876155742008280619,54867842942953573450868747713087920246,111207247632761530752404582123499651367
ORDER_46	4,5,2,3,6,1
ASK1_FIRST	90411690289794975082828500805689671121
ASK1_STEP	-1
PICK_922	189
BOUNDED_COUNT	19
BOUNDED_RANK_1	2,4,6
BOUNDED_RANK_LAST	6,4,2
CUTLET_COUNT	28
CUTLET_RANK_1	1,1,3,5
CUTLET_RANK_LAST	5,3,1,1
WEAVE_COUNT	2
WEAVE_RANK_1	1,1,2,2,3
WEAVE_RANK_LAST	1,2,1,2,3
DISTINCT_17_6_FIRST	1,2,3,4,5,6
DISTINCT_17_6_LAST	17,16,15,14,13,12
GATE_POS_1	345
GATE_NEG_1	503
YEAR5000_FOUNDATION	5000,-4,4,-15057703,-15053459
